cod_aerolinea,nombre_aerolinea,cod_pais,cod_iata,cod_icao,identificacion,pais_aerolinea,sw_activa
01105,AVC Airlines,JPN,Z9,MZK,I999,Japan,N
01106,Aerovias Montes Azules,MEX,Z9,MZL,MONTES AZULES,Mexico,N
01107,Aeroland Airways,GRC,3S,Z99,I999,Greece,N
01109,Astair,Z99,8D,Z99,I999,Russian Federation,Y
01110,Albarka Air,NGA,F4,NBK,AL-AIR,Nigeria,N
01111,ACA-Ancargo Air Sociedade de Transporte de Carga Lda,AGO,Z9,NCL,ANCARGO AIR,Angola,N
01112,Aero Servicios de Nuevo Laredo,MEX,Z9,NEL,AEROLAREDO,Mexico,N
01113,Angoavia,AGO,Z9,NGV,ANGOAVIA,Angola,N
01114,Aeroni,MEX,Z9,NID,AERONI,Mexico,N
01115,Aeroejecutiva Nieto,MEX,Z9,NIE,AERONIETO,Mexico,N
01116,Aero Contractors,NGA,AJ,NIG,AEROLINE,Nigeria,Y
01117,Aerokuzbass,RUS,Z9,NKZ,NOVOKUZNETSK,Russia,N
01118,Atlantic Airlines,GBR,Z9,NPT,NEPTUNE,United Kingdom,N
01119,Atlantic Richfield Company,USA,Z9,NRS,NORTH SLOPE,United States,N
01120,Aerolineas Sosa,HND,Z9,NSO,SOSA,Honduras,N
01121,Aero Norte,MEX,Z9,NTD,I999,Mexico,N
01122,Air Inter Ivoire,Z99,Z9,NTV,INTER-IVOIRE,Ivory Coast,N
01123,Aeroservicios De Nuevo Leon,MEX,Z9,NUL,SERVICIOS NUEVOLEON,Mexico,N
01124,Avial NV Aviation Company,RUS,Z9,NVI,NEW AVIAL,Russia,N
01125,Airwing,NOR,Z9,NWG,NORWING,Norway,N
01126,Air Next,JPN,Z9,NXA,BLUE-DOLPHIN,Japan,N
01127,Arkhangelsk 2 Aviation Division,RUS,Z9,OAO,DVINA,Russia,N
01128,Aerogisa,MEX,Z9,OGI,AEROGISA,Mexico,N
01129,Aerolineas Olve,MEX,Z9,OLV,OLVE,Mexico,N
01130,Aeromega,GBR,Z9,OMG,OMEGA,United Kingdom,N
01131,Air One Nine,LBY,Z9,ONR,EDER,Libya,N
01132,Air Ontario,CAN,Z9,ONT,ONTARIO,Canada,N
01133,Aerocorp,MEX,Z9,ORP,CORPSA,Mexico,N
01134,Action Air,ITA,Z9,ORS,AVIATION SERVICE,Italy,N
01135,Aerosan,MEX,Z9,OSN,AEROSAN,Mexico,N
01136,Aviapartner Limited Company,RUS,Z9,OSO,I999,Russia,N
01137,Aliparma,ITA,Z9,PAJ,ALIPARMA,Italy,N
01138,Air Parabet,BGD,Z9,PBT,PARABET,Bangladesh,N
01139,Air Burundi,BDI,8Y,PBU,AIR-BURUNDI,Burundi,N
01140,Aeropostal Cargo de Mexico,MEX,Z9,PCG,POSTAL CARGO,Mexico,N
01141,Air Pack Express,ESP,Z9,PCK,AIRPACK EXPRESS,Spain,N
01142,Air Palace,MEX,Z9,PCS,AIR PALACE,Mexico,N
01143,Aeropelican Air Services,AUS,OT,PEL,PELICAN,Australia,Y
01144,Aerolineas Chihuahua,MEX,Z9,PFI,PACIFICO CHIHUAHUA,Mexico,N
01145,Air Cargo Express International,USA,Z9,PFT,PROFREIGHT,United States,N
01146,Al Farana Airline,EGY,Z9,PHR,PHARAOH,Egypt,N
01147,Ave.com,ARE,Z9,PHW,PHOENIX SHARJAH,United Arab Emirates,N
01148,Air South West,GBR,Z9,PIE,PIRATE,United Kingdom,N
01149,Aeroservicios California Pacifico,MEX,Z9,PIF,AEROCALPA,Mexico,N
01150,AST Pakistan Airways,PAK,Z9,PKA,PAKISTAN AIRWAY,Pakistan,N
01151,Aero Personal,MEX,Z9,PNL,AEROPERSONAL,Mexico,N
01152,Aero Servicios Platinum,MEX,Z9,PNU,AERO PLATINUM,Mexico,N
01153,Apoyo Aereo,MEX,Z9,POY,APOYO AEREO,Mexico,N
01154,Aerotransportes Privados,MEX,Z9,PRI,AEROPRIV,Mexico,N
01155,Atlantic Coast Jet,USA,Z9,PRT,PATRIOT,United States,N
01156,Air Paradise International,IDN,AD,PRZ,RADISAIR,Indonesia,N
01157,Aeroservicio Sipse,MEX,Z9,PSE,SIPSE,Mexico,N
01158,Aeroservicios Corporativos De San Luis,MEX,Z9,PSL,CORSAN,Mexico,N
01159,Aerotransportes Privados,MEX,Z9,PVA,TRANSPRIVADO,Mexico,N
01160,Aereo Taxi Paraza,MEX,Z9,PZA,AEREO PARAZA,Mexico,N
01161,Air Class Lineas Aereas,URY,QD,QCL,ACLA,Uruguay,N
01162,Aviation Consultancy Office,AUS,Z9,QEA,I999,Australia,N
01163,Aero Taxi,CAN,Z9,QAT,AIR QUASAR,Canada,N
01164,Aero Taxi Aviation,USA,Z9,QKC,QUAKER CITY,United States,N
01165,Aviation Quebec Labrador,CAN,Z9,QLA,QUEBEC LABRADOR,Canada,N
01166,African Safari Airways,KEN,QS,QSC,ZEBRA,Kenya,N
01167,Aero Quimmco,MEX,Z9,QUI,QUIMMCO,Mexico,N
01168,Alada,AGO,Z9,RAD,AIR ALADA,Angola,N
01169,Aerotur-Air,KAZ,Z9,RAI,DIASA,Kazakhstan,N
01170,Air Center Helicopters,USA,Z9,RAP,RAPTOR,United States,N
01171,Aur Rum Benin,BEN,Z9,RBE,RUM BENIN,Benin,N
01172,Aeroserivios Del Bajio,MEX,Z9,RBJ,AEROBAJIO,Mexico,N
01173,Airbus France,FRA,4Y,RBU,AIRBUS FRANCE,France,N
01174,Air Roberval,CAN,Z9,RBV,AIR ROBERVAL,Canada,N
01175,Arubaexel,ABW,Z9,RBX,ARUBA,Aruba,N
01176,Air Charters Eelde,NLD,Z9,RCC,RACER,Netherlands,N
01177,Aerocer,MEX,Z9,RCE,AEROCER,Mexico,N
01178,Aeroflot-Cargo,RUS,Z9,RCF,AEROFLOT-CARGO,Russia,N
01179,Air Mobility Command,USA,MC,RCH,REACH,United States,N
01180,Air Cassai,AGO,Z9,RCI,AIR CASSAI,Angola,N
01181,Aero Renta De Coahuila,MEX,Z9,RCO,AEROCOAHUILA,Mexico,N
01182,Aerocorp,MEX,Z9,RCP,AEROCORPSA,Mexico,N
01183,Aerolineas Regionales,MEX,Z9,RCQ,REGIONAL CARGO,Mexico,N
01184,Atlantic S.L.,ESP,Z9,RCU,AIR COURIER,Spain,N
01185,Air Service Center,ITA,Z9,RCX,SERVICE CENTER,Italy,N
01186,Adygeya Airlines,RUS,Z9,RDD,ADLINES,Russia,N
01187,Air Ada,MRT,Z9,RDM,AIR ADA,Mauritania,N
